Asset Name,Symbol,Type,Address,AssetType,precision,Link,Chainlink Price Feed,aggregatorName
USD Coin,USDC,currency,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,4,6,https://polygonscan.com/address/0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xfE4A8cc5b5B2366C1B58Bea3858e81843581b2F7
Tether USD,USDT,currency,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,4,6,https://polygonscan.com/address/0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x0A6513e40db6EB1b165753AD52E80663aeA50545
Dai USD,DAI,currency,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,4,18,https://polygonscan.com/address/0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x4746DeC9e833A82EC7C2C1356372CcF2cfcD2F3D
Wrapped Matic,WMATIC,crypto,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0,18,https://polygonscan.com/address/0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xAB594600376Ec9fD91F8e885dADF0CE036862dE0
Wrapped Ether,WETH,crypto,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,4,18,https://polygonscan.com/address/0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xF9680D99D6C9589e2a93a78A04A279e509205945
Wrapped Bitcoin,WBTC,crypto,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,4,18,https://polygonscan.com/address/0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,0xDE31F8bFBD8c84b5360CFACCa3539B938dd78ae6
Chainlink,LINK,crypto,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,4,18,https://polygonscan.com/address/0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,0xd9FFdb71EbE7496cC440152d43986Aae0AB76665
Synthetix,SNX,crypto,0x50b728d8d964fd00c2d0aad81718b71311fef68a,4,18,https://polygonscan.com/address/0x50b728d8d964fd00c2d0aad81718b71311fef68a,0xbF90A5D9B6EE9019028dbFc2a9E50056d5252894
Aave,AAVE,crypto,0xd6df932a45c0f255f85145f286ea0b292b21c90b,0,18,https://polygonscan.com/address/0xd6df932a45c0f255f85145f286ea0b292b21c90b,0x72484B12719E23115761D5DA1646945632979bB6
Sushi,SUSHI,crypto,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,0,18,https://polygonscan.com/address/0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,0x49B0c695039243BBfEb8EcD054EB70061fd54aa0
CRV,CRV,crypto,0x172370d5cd63279efa6d502dab29171933a610af,4,18,https://polygonscan.com/token/0x172370d5cd63279efa6d502dab29171933a610af,0x336584C8E6Dc19637A5b36206B1c79923111b405
Balancer,BAL,crypto,0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3,0,18,https://polygonscan.com/token/0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3,0xd106b538f2a868c28ca1ec7e298c3325e0251d66
Frax Share,FXS,crypto,0x3e121107f6f22da4911079845a470757af4e1a1b,0,18,https://polygonscan.com/address/0x3e121107f6f22da4911079845a470757af4e1a1b,0x6C0fe985D3cAcbCdE428b84fc9431792694d0f51
Frax USD,FRAX,currency,0x104592a158490a9228070e0a8e5343b499e125d0,0,18,https://polygonscan.com/address/0x3e121107f6f22da4911079845a470757af4e1a1b,0x00DBeB1e45485d53DF7C2F0dF1Aa0b6Dc30311d3
Sushi LP USDC-DAI,SLP,sushiLpToken,0xcd578f016888b57f1b1e3f887f392f0159e26747,2,18,https://polygonscan.com/address/0xcd578f016888b57f1b1e3f887f392f0159e26747,
Sushi LP USDC-USDT,SLP,sushiLpToken,0x4b1f1e2435a9c96f7330faea190ef6a7c8d70001,2,18,https://polygonscan.com/address/0x4b1f1e2435a9c96f7330faea190ef6a7c8d70001,
Sushi LP WETH-DAI,SLP,sushiLpToken,0x6ff62bfb8c12109e8000935a6de54dad83a4f39f,2,18,https://polygonscan.com/address/0x6ff62bfb8c12109e8000935a6de54dad83a4f39f,
Sushi LP WETH-USDT,SLP,sushiLpToken,0xc2755915a85c6f6c1c0f3a86ac8c058f11caa9c9,2,18,https://polygonscan.com/address/0xc2755915a85c6f6c1c0f3a86ac8c058f11caa9c9,
Sushi LP USDC-WETH,SLP,sushiLpToken,0x34965ba0ac2451a34a0471f04cca3f990b8dea27,2,18,https://polygonscan.com/address/0x34965ba0ac2451a34a0471f04cca3f990b8dea27,
Sushi LP SNX-WETH,SLP,sushiLpToken,0x116ff0d1caa91a6b94276b3471f33dbeb52073e7,2,18,https://polygonscan.com/address/0x116ff0d1caa91a6b94276b3471f33dbeb52073e7,
Sushi LP LINK-WETH,SLP,sushiLpToken,0x74d23f21f780ca26b47db16b0504f2e3832b9321,2,18,https://polygonscan.com/address/0x74d23f21f780ca26b47db16b0504f2e3832b9321,
Sushi LP WBTC-WETH,SLP,sushiLpToken,0xe62ec2e799305e0d367b0cc3ee2cda135bf89816,2,18,https://polygonscan.com/address/0xe62ec2e799305e0d367b0cc3ee2cda135bf89816,
Sushi LP WMATIC-WETH,SLP,sushiLpToken,0xc4e595acdd7d12fec385e5da5d43160e8a0bac0e,2,18,https://polygonscan.com/address/0xc4e595acdd7d12fec385e5da5d43160e8a0bac0e,
Sushi LP WETH-AAVE,SLP,sushiLpToken,0x2813d43463c374a680f235c428fb1d7f08de0b69,2,18,https://polygonscan.com/address/0x2813d43463c374a680f235c428fb1d7f08de0b69,
Sushi LP WETH-CRV,SLP,sushiLpToken,0x396e655c309676caf0acf4607a868e0cded876db,2,18,https://polygonscan.com/address/0x396e655c309676caf0acf4607a868e0cded876db,
Aave Lending Pool,Lend/Borrow,aaveLending,0x8dFf5E27EA6b7AC08EbFdf9eB090F32ee9a30fcf,3,18,https://polygonscan.com/address/0x8dFf5E27EA6b7AC08EbFdf9eB090F32ee9a30fcf,0x7A6B761836012842d304C7e4d836F226e2b52eA9,,
Sushi LP FXS-FRAX,SLP,sushiLpToken,0xd53a56ae0f48c9a03660cd36c2e4ae20493a1eca,2,18,https://polygonscan.com/address/0xd53a56ae0f48c9a03660cd36c2e4ae20493a1eca
Sushi LP FRAX-USDC,SLP,sushiLpToken,0x9e20a8d3501bf96eda8e69b96dd84840058a1cb0,2,18,https://polygonscan.com/address/0x9e20a8d3501bf96eda8e69b96dd84840058a1cb0
Celsius,CEL,crypto,0xd85d1e945766fea5eda9103f918bd915fbca63e6,0,4,https://polygonscan.com/token/0xd85d1e945766fea5eda9103f918bd915fbca63e6,0xc9ECF45956f576681bDc01F79602A79bC2667B0c,,
Compound,COMP,crypto,0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c,0,18,https://polygonscan.com/token/0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c,0x2A8758b7257102461BC958279054e372C2b1bDE6,,
Decentraland,MANA,crypto,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4,0,18,https://polygonscan.com/token/0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4,0xA1CbF3Fe43BC3501e3Fc4b573e822c70e76A7512,,
QuickSwap,QUICK,crypto,0x831753dd7087cac61ab5644b308642cc1c33dc13,0,18,https://polygonscan.com/token/0x831753dd7087cac61ab5644b308642cc1c33dc13,0xa058689f4bCa95208bba3F265674AE95dED75B6D,,
Uniswap,UNI,crypto,0xb33eaad8d922b1083446dc23f610c2567fb5180f,0,18,https://polygonscan.com/token/0xb33eaad8d922b1083446dc23f610c2567fb5180f,0xdf0Fb4e4F928d2dCB76f438575fDD8682386e13C,,
Yearn.Finance,YFI,crypto,0xda537104d6a5edd53c6fbba9a898708e465260b6,0,18,https://polygonscan.com/token/0xda537104d6a5edd53c6fbba9a898708e465260b6,0x9d3A43c111E7b2C6601705D9fcF7a70c95b1dc55,,
Stablecoin Yield,dUSD,crypto,0xbae28251b2a4e621aa7e20538c06dee010bc06de,0,18,https://polygonscan.com/token/0xbae28251b2a4e621aa7e20538c06dee010bc06de,,DHedgePoolAggregator,
dHEDGE DAO,DHT,crypto,0x8c92e38eca8210f4fcbf17f0951b198dd7668292,0,18,https://polygonscan.com/address/0x8c92e38eca8210f4fcbf17f0951b198dd7668292,0x5C44cB803582891Bc9Bf020a4Aa36A3c6281119E,MedianTWAPAggregator,,
Sushi LP DHT-WETH,SLP,sushiLpToken,0xa375d23a751124359568f3a22576528bd1c8c3e3,2,18,https://polygonscan.com/address/0xa375d23a751124359568f3a22576528bd1c8c3e3,,,,
Sushi LP WMATIC-USDC,SLP,sushiLpToken,0xcd353f79d9fade311fc3119b841e1f456b54e858,2,18,https://polygonscan.com/address/0xcd353f79d9fade311fc3119b841e1f456b54e858,,,,
Aavegotchi,GHST,crypto,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,0,18,https://polygonscan.com/token/0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7,0xDD229Ce42f11D8Ee7fFf29bDB71C7b81352e11be,,,
Wrapped UST Token,UST,currency,0x692597b009d13c4049a947cab2239b7d6517875f,0,18,https://polygonscan.com/token/0x692597b009d13c4049a947cab2239b7d6517875f,0x2D455E55e8Ad3BA965E3e95e7AaB7dF1C671af19,,,
TrueUSD,TUSD,currency,0x2e1ad108ff1d8c782fcbbb89aad783ac49586756,0,18,https://polygonscan.com/token/0x2e1ad108ff1d8c782fcbbb89aad783ac49586756,0x7C5D415B64312D38c56B54358449d0a4058339d2,,,
renBTC,renBTC,crypto,0xdbf31df14b66535af65aac99c32e9ea844e14501,0,8,https://polygonscan.com/token/0xdbf31df14b66535af65aac99c32e9ea844e14501,0xc907E116054Ad103354f2D350FD2514433D57F6f,,,
Solana,SOL,crypto,0x7DfF46370e9eA5f0Bad3C4E29711aD50062EA7A4,0,18,https://polygonscan.com/token/0x7DfF46370e9eA5f0Bad3C4E29711aD50062EA7A4,0x10C8264C0935b3B9870013e057f330Ff3e9C56dC,,,
Nexo,NEXO,crypto,0x41b3966b4ff7b427969ddf5da3627d6aeae9a48e,0,18,https://polygonscan.com/token/0x41b3966b4ff7b427969ddf5da3627d6aeae9a48e,0x666bb13b3ED3816504E8c30D0F9B9C16b371774b,,,