Asset Name,Symbol,Type,Address,AssetType,precision,Link,Chainlink Price Feed,Token 0 Chainlink Price Feed,Token 1 Chainlink Price Feed
USD Coin,USDC,currency,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0,6,https://polygonscan.com/address/0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xfE4A8cc5b5B2366C1B58Bea3858e81843581b2F7,,
Tether USD,USDT,currency,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0,6,https://polygonscan.com/address/0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0x0A6513e40db6EB1b165753AD52E80663aeA50545,,
Dai USD,DAI,currency,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0,18,https://polygonscan.com/address/0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x4746DeC9e833A82EC7C2C1356372CcF2cfcD2F3D,,
Wrapped Matic,WMATIC,crypto,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0,18,https://polygonscan.com/address/0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,0xAB594600376Ec9fD91F8e885dADF0CE036862dE0,,
Wrapped Ether,WETH,crypto,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0,18,https://polygonscan.com/address/0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xF9680D99D6C9589e2a93a78A04A279e509205945,,
Wrapped Bitcoin,WBTC,crypto,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,0,18,https://polygonscan.com/address/0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6,0xc907E116054Ad103354f2D350FD2514433D57F6f,,
Chainlink,LINK,crypto,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,0,18,https://polygonscan.com/address/0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,0xd9FFdb71EbE7496cC440152d43986Aae0AB76665,,
Synthetix,SNX,crypto,0x50b728d8d964fd00c2d0aad81718b71311fef68a,0,18,https://polygonscan.com/address/0x50b728d8d964fd00c2d0aad81718b71311fef68a,0xbF90A5D9B6EE9019028dbFc2a9E50056d5252894,,
Sushi,SUSHI,crypto,0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,0,18,https://polygonscan.com/address/0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,0x49B0c695039243BBfEb8EcD054EB70061fd54aa0,,
Sushi LP USDC-DAI,SLP,sushiLpToken,0xcd578f016888b57f1b1e3f887f392f0159e26747,2,18,https://polygonscan.com/address/0xcd578f016888b57f1b1e3f887f392f0159e26747,,0xfE4A8cc5b5B2366C1B58Bea3858e81843581b2F7,0x4746DeC9e833A82EC7C2C1356372CcF2cfcD2F3D
Sushi LP USDC-USDT,SLP,sushiLpToken,0x4b1f1e2435a9c96f7330faea190ef6a7c8d70001,2,18,https://polygonscan.com/address/0x4b1f1e2435a9c96f7330faea190ef6a7c8d70001,,0xfE4A8cc5b5B2366C1B58Bea3858e81843581b2F7,0x0A6513e40db6EB1b165753AD52E80663aeA50545
Sushi LP WETH-DAI,SLP,sushiLpToken,0x6ff62bfb8c12109e8000935a6de54dad83a4f39f,2,18,https://polygonscan.com/address/0x6ff62bfb8c12109e8000935a6de54dad83a4f39f,,0xF9680D99D6C9589e2a93a78A04A279e509205945,0x4746DeC9e833A82EC7C2C1356372CcF2cfcD2F3D
Sushi LP WETH-USDT,SLP,sushiLpToken,0xc2755915a85c6f6c1c0f3a86ac8c058f11caa9c9,2,18,https://polygonscan.com/address/0xc2755915a85c6f6c1c0f3a86ac8c058f11caa9c9,,0xF9680D99D6C9589e2a93a78A04A279e509205945,0x0A6513e40db6EB1b165753AD52E80663aeA50545
Sushi LP USDC-WETH,SLP,sushiLpToken,0x34965ba0ac2451a34a0471f04cca3f990b8dea27,2,18,https://polygonscan.com/address/0x34965ba0ac2451a34a0471f04cca3f990b8dea27,,0xfE4A8cc5b5B2366C1B58Bea3858e81843581b2F7,0xF9680D99D6C9589e2a93a78A04A279e509205945
Sushi LP SNX-WETH,SLP,sushiLpToken,0x116ff0d1caa91a6b94276b3471f33dbeb52073e7,2,18,https://polygonscan.com/address/0x116ff0d1caa91a6b94276b3471f33dbeb52073e7,,0xbF90A5D9B6EE9019028dbFc2a9E50056d5252894,0xF9680D99D6C9589e2a93a78A04A279e509205945
Sushi LP LINK-WETH,SLP,sushiLpToken,0x74d23f21f780ca26b47db16b0504f2e3832b9321,2,18,https://polygonscan.com/address/0x74d23f21f780ca26b47db16b0504f2e3832b9321,,0xd9FFdb71EbE7496cC440152d43986Aae0AB76665,0xF9680D99D6C9589e2a93a78A04A279e509205945
Sushi LP WBTC-WETH,SLP,sushiLpToken,0xe62ec2e799305e0d367b0cc3ee2cda135bf89816,2,18,https://polygonscan.com/address/0xe62ec2e799305e0d367b0cc3ee2cda135bf89816,,0xc907E116054Ad103354f2D350FD2514433D57F6f,0xF9680D99D6C9589e2a93a78A04A279e509205945
Sushi LP WMATIC-WETH,SLP,sushiLpToken,0xc4e595acdd7d12fec385e5da5d43160e8a0bac0e,2,18,https://polygonscan.com/address/0xc4e595acdd7d12fec385e5da5d43160e8a0bac0e,,0xAB594600376Ec9fD91F8e885dADF0CE036862dE0,0xF9680D99D6C9589e2a93a78A04A279e509205945